de,a,ciudad,tipo
2019-02-21T08:30:00Z,2019-02-21T11:30:00Z,Europe/Rome,Ski
2019-02-21T21:33:00Z,2019-02-21T21:45:00Z,Europe/Rome,Other
2019-02-22T08:00:00Z,2019-02-22T11:20:00Z,Europe/Rome,Ski
2019-02-23T08:00:00Z,2019-02-23T12:20:00Z,Europe/Rome,Ski
2019-02-24T07:00:00Z,2019-02-24T07:10:00Z,Europe/Madrid,Ski
2019-02-24T13:37:00Z,2019-02-24T13:51:00Z,Europe/Madrid,Walking
2019-02-25T17:58:00Z,2019-02-25T18:10:00Z,Europe/Madrid,Walking
2019-02-25T20:05:00Z,2019-02-25T20:18:00Z,Europe/Madrid,Walking
2019-02-26T08:21:00Z,2019-02-26T08:25:00Z,Europe/Madrid,Running
2019-02-27T16:54:00Z,2019-02-27T17:10:00Z,Europe/Madrid,Walking
2019-02-27T20:06:00Z,2019-02-27T20:27:00Z,Europe/Madrid,Walking
2019-02-28T15:01:00Z,2019-02-28T15:11:00Z,Europe/Madrid,Walking
2019-02-28T17:08:00Z,2019-02-28T17:22:00Z,Europe/Madrid,Walking
2019-02-28T18:16:00Z,2019-02-28T18:31:00Z,Europe/Madrid,Walking
2019-03-01T07:19:00Z,2019-03-01T07:27:00Z,Europe/Madrid,Walking
2019-03-01T07:28:00Z,2019-03-01T07:33:00Z,Europe/Madrid,Running
2019-03-01T07:34:00Z,2019-03-01T07:38:00Z,Europe/Madrid,Walking
2019-03-01T11:59:00Z,2019-03-01T12:09:00Z,Europe/Madrid,Walking
2019-03-01T13:47:00Z,2019-03-01T14:00:00Z,Europe/Madrid,Walking
2019-03-01T19:01:00Z,2019-03-01T19:55:00Z,Europe/Madrid,Walking
2019-03-02T08:15:00Z,2019-03-02T09:15:00Z,Europe/Madrid,Pilates
2019-03-02T09:24:00Z,2019-03-02T09:30:00Z,Europe/Madrid,Walking
2019-03-02T11:14:00Z,2019-03-02T11:37:00Z,Europe/Madrid,Walking
2019-03-02T11:54:00Z,2019-03-02T12:15:00Z,Europe/Madrid,Walking
2019-03-02T17:44:00Z,2019-03-02T17:54:00Z,Europe/Madrid,Walking
2019-03-04T12:50:00Z,2019-03-04T13:02:00Z,Europe/Madrid,Walking
2019-03-04T13:32:00Z,2019-03-04T13:45:00Z,Europe/Madrid,Walking
2019-03-06T17:14:00Z,2019-03-06T17:26:00Z,Europe/Madrid,Walking
2019-03-06T20:11:00Z,2019-03-06T20:25:00Z,Europe/Madrid,Walking
2019-03-08T18:14:00Z,2019-03-08T18:32:00Z,Europe/Madrid,Walking
2019-03-08T19:22:00Z,2019-03-08T19:38:00Z,Europe/Madrid,Walking
2019-03-09T13:30:00Z,2019-03-09T16:50:00Z,Europe/Madrid,Hiking
2019-03-11T20:04:00Z,2019-03-11T20:22:00Z,Europe/Madrid,Walking
2019-03-12T13:09:00Z,2019-03-12T13:14:00Z,Europe/Madrid,Walking
2019-03-13T13:45:00Z,2019-03-13T13:51:00Z,Europe/Madrid,Walking
2019-03-14T07:51:01Z,2019-03-14T07:55:00Z,Europe/Madrid,Walking
2019-03-14T13:44:00Z,2019-03-14T13:48:00Z,Europe/Madrid,Walking
2019-03-14T13:44:00Z,2019-03-14T13:49:00Z,Europe/Madrid,Walking
2019-03-14T13:44:00Z,2019-03-14T13:50:00Z,Europe/Madrid,Walking
2019-03-16T09:39:00Z,2019-03-16T09:47:00Z,Europe/Madrid,Walking
2019-03-17T08:06:00Z,2019-03-17T08:11:00Z,Europe/Madrid,Running
2019-03-18T17:29:00Z,2019-03-18T17:46:00Z,Europe/Madrid,Walking
2019-03-18T19:59:00Z,2019-03-18T20:09:00Z,Europe/Madrid,Walking
2019-03-18T20:10:00Z,2019-03-18T20:15:00Z,Europe/Madrid,Running
2019-03-19T07:15:00Z,2019-03-19T08:15:00Z,Europe/Amsterdam,Pilates
2019-03-19T08:21:00Z,2019-03-19T08:25:00Z,Europe/Madrid,Running
2019-03-19T08:26:00Z,2019-03-19T08:30:00Z,Europe/Madrid,Walking
2019-03-20T17:55:00Z,2019-03-20T18:09:00Z,Europe/Amsterdam,Walking
2019-03-20T20:03:00Z,2019-03-20T20:25:00Z,Europe/Amsterdam,Walking
2019-03-21T06:45:00Z,2019-03-21T07:45:00Z,Europe/Amsterdam,Pilates
2019-03-21T19:57:00Z,2019-03-21T20:08:00Z,Europe/Amsterdam,Walking
2019-03-22T07:22:00Z,2019-03-22T07:41:00Z,Europe/Amsterdam,Running
2019-03-23T08:23:00Z,2019-03-23T08:34:00Z,Europe/Amsterdam,Running
2019-03-23T08:35:00Z,2019-03-23T08:57:00Z,Europe/Amsterdam,Walking
2019-03-25T17:40:00Z,2019-03-25T17:48:00Z,Europe/Madrid,Walking
2019-03-25T20:08:00Z,2019-03-25T20:21:00Z,Europe/Madrid,Walking
2019-03-26T07:04:00Z,2019-03-26T07:07:00Z,Europe/Madrid,Running
2019-03-26T07:08:00Z,2019-03-26T07:12:00Z,Europe/Madrid,Walking
2019-03-26T17:28:00Z,2019-03-26T17:34:00Z,Europe/Madrid,Walking
2019-03-26T17:40:00Z,2019-03-26T17:48:00Z,Europe/Madrid,Walking
2019-03-26T18:00:00Z,2019-03-26T19:00:00Z,Europe/Madrid,Tennis
2019-03-26T18:06:00Z,2019-03-26T19:06:00Z,Europe/Madrid,Other
2019-03-27T19:37:00Z,2019-03-27T20:05:00Z,Europe/Madrid,Walking
2019-03-28T16:28:00Z,2019-03-28T16:33:00Z,Europe/Madrid,Walking
2019-03-29T08:04:00Z,2019-03-29T08:21:00Z,Europe/Madrid,Walking
2019-03-29T19:04:00Z,2019-03-29T19:55:00Z,Europe/Madrid,Tennis
2019-03-30T08:15:00Z,2019-03-30T09:15:00Z,Europe/Madrid,Pilates
2019-03-30T09:25:00Z,2019-03-30T09:44:00Z,Europe/Madrid,Running
2019-03-30T09:25:00Z,2019-03-30T09:45:00Z,Europe/Madrid,Running
2019-03-30T17:41:00Z,2019-03-30T18:14:00Z,Europe/Madrid,Walking
2019-03-30T19:34:00Z,2019-03-30T20:00:00Z,Europe/Madrid,Walking
2019-03-31T17:00:00Z,2019-03-31T18:00:00Z,Europe/Madrid,Tennis
2019-03-31T19:40:00Z,2019-03-31T19:50:00Z,Europe/Madrid,Other
2019-04-01T16:44:00Z,2019-04-01T17:05:00Z,Europe/Madrid,Walking
2019-04-01T19:02:00Z,2019-04-01T19:19:00Z,Europe/Madrid,Walking
2019-04-02T06:39:00Z,2019-04-02T06:51:00Z,Europe/Madrid,Walking
2019-04-02T12:06:00Z,2019-04-02T12:19:00Z,Europe/Madrid,Walking
2019-04-02T17:26:00Z,2019-04-02T17:36:00Z,Europe/Madrid,Walking
2019-04-02T18:19:00Z,2019-04-02T18:41:00Z,Europe/Madrid,Walking
2019-04-03T16:14:00Z,2019-04-03T16:29:00Z,Europe/Madrid,Walking
2019-04-03T19:08:00Z,2019-04-03T19:21:00Z,Europe/Madrid,Walking
2019-04-05T06:06:00Z,2019-04-05T06:25:00Z,Europe/Amsterdam,Running
2019-04-05T06:26:00Z,2019-04-05T06:41:00Z,Europe/Amsterdam,Walking
2019-04-05T06:49:00Z,2019-04-05T06:56:00Z,Europe/Amsterdam,Running
2019-04-06T08:54:00Z,2019-04-06T09:06:00Z,Europe/Amsterdam,Walking
2019-04-06T18:00:00Z,2019-04-06T18:20:00Z,Europe/Amsterdam,Cycling
2019-04-06T20:58:00Z,2019-04-06T21:30:00Z,Europe/Amsterdam,Dancing
2019-04-07T01:00:00Z,2019-04-07T01:20:00Z,Europe/Amsterdam,Cycling
2019-04-10T16:35:00Z,2019-04-10T16:51:00Z,Europe/Madrid,Walking
2019-04-10T19:08:00Z,2019-04-10T19:27:00Z,Europe/Madrid,Walking
2019-04-11T13:02:00Z,2019-04-11T13:15:00Z,Europe/Madrid,Walking
2019-04-11T15:35:00Z,2019-04-11T16:01:00Z,Europe/Madrid,Walking
2019-04-12T10:32:00Z,2019-04-12T10:36:00Z,Europe/Madrid,Running
2019-04-13T12:20:00Z,2019-04-13T12:31:00Z,Europe/Madrid,Walking
2019-04-13T13:38:00Z,2019-04-13T13:56:00Z,Europe/Madrid,Walking
2019-04-13T17:40:00Z,2019-04-13T18:02:00Z,Europe/Madrid,Walking
2019-04-14T18:44:00Z,2019-04-14T18:50:00Z,Europe/Madrid,Walking
2019-04-18T07:34:00Z,2019-04-18T07:48:00Z,Europe/Amsterdam,Running
2019-04-18T07:49:00Z,2019-04-18T08:02:00Z,Europe/Amsterdam,Walking
2019-04-18T08:09:00Z,2019-04-18T08:13:00Z,Europe/Amsterdam,Running
2019-04-18T19:24:00Z,2019-04-18T19:49:00Z,Europe/Amsterdam,Walking
2019-04-19T08:16:00Z,2019-04-19T08:30:00Z,Europe/Amsterdam,Running
2019-04-19T08:31:00Z,2019-04-19T08:35:00Z,Europe/Amsterdam,Walking
2019-04-19T08:43:00Z,2019-04-19T08:50:00Z,Europe/Amsterdam,Running
2019-04-19T08:51:00Z,2019-04-19T09:00:00Z,Europe/Amsterdam,Walking
2019-04-19T09:01:00Z,2019-04-19T09:06:00Z,Europe/Amsterdam,Running
2019-04-19T19:30:00Z,2019-04-19T19:50:00Z,Europe/Amsterdam,Cycling
2019-04-20T07:35:00Z,2019-04-20T07:56:00Z,Europe/Amsterdam,Running
2019-04-20T08:04:00Z,2019-04-20T08:21:00Z,Europe/Amsterdam,Running
2019-04-22T17:10:00Z,2019-04-22T18:35:00Z,Europe/Madrid,Other
2019-04-23T06:15:00Z,2019-04-23T07:15:00Z,Europe/Madrid,Pilates
2019-04-23T07:20:00Z,2019-04-23T07:32:00Z,Europe/Madrid,Cycling
2019-04-23T07:31:19Z,2019-04-23T07:32:48Z,Europe/Madrid,Running
2019-04-23T07:33:00Z,2019-04-23T07:48:45Z,Europe/Madrid,Running
2019-04-24T16:02:29Z,2019-04-24T16:12:49Z,Europe/Madrid,Running
2019-04-25T08:52:00Z,2019-04-25T09:04:00Z,Europe/Madrid,Walking
